date,symbol,close,volume,pe,dividendYield,roe,revenueGrowth,debtEquity
2024-01-17,SNTS,17164.47,33831,,,,,
2024-01-17,BOAB,4743.34,5371,,,,,
2024-01-17,ETIT,24.12,17295,,,,,
2024-01-17,ORAC,10774.32,12808,,,,,
2024-01-17,SGBC,18543.50,22706,,,,,
2024-01-17,CABC,979.81,14287,,,,,
2024-01-18,SNTS,17014.13,46201,,,,,
2024-01-18,BOAB,4743.06,43136,,,,,
2024-01-18,ETIT,24.24,3004,,,,,
2024-01-18,ORAC,11043.33,41883,,,,,
2024-01-18,SGBC,18981.21,46355,,,,,
2024-01-18,CABC,997.64,8732,,,,,
2024-01-19,SNTS,17045.68,11080,,,,,
2024-01-19,BOAB,4733.79,3402,,,,,
2024-01-19,ETIT,24.17,49272,,,,,
2024-01-19,ORAC,10954.25,39311,,,,,
2024-01-19,SGBC,18990.24,21438,,,,,
2024-01-19,CABC,1020.66,49773,,,,,
2024-01-20,SNTS,17131.07,36061,,,,,
2024-01-20,BOAB,4672.09,15187,,,,,
2024-01-20,ETIT,24.74,29169,,,,,
2024-01-20,ORAC,11002.44,37524,,,,,
2024-01-20,SGBC,18659.28,29416,,,,,
2024-01-20,CABC,1023.34,42709,,,,,
2024-01-21,SNTS,16909.81,48058,,,,,
2024-01-21,BOAB,4595.49,9698,,,,,
2024-01-21,ETIT,24.90,33923,,,,,
2024-01-21,ORAC,10898.84,6434,,,,,
2024-01-21,SGBC,19033.64,12687,,,,,
2024-01-21,CABC,1030.25,31159,,,,,
2024-01-22,SNTS,16890.62,29391,,,,,
2024-01-22,BOAB,4611.69,46767,,,,,
2024-01-22,ETIT,24.63,35951,,,,,
2024-01-22,ORAC,10797.93,20091,,,,,
2024-01-22,SGBC,19228.28,15349,,,,,
2024-01-22,CABC,1024.31,37717,,,,,
2024-01-23,SNTS,16607.95,23185,,,,,
2024-01-23,BOAB,4726.67,49806,,,,,
2024-01-23,ETIT,24.22,11051,,,,,
2024-01-23,ORAC,10710.83,46696,,,,,
2024-01-23,SGBC,19605.91,44023,,,,,
2024-01-23,CABC,1020.85,8308,,,,,
2024-01-24,SNTS,16898.89,35325,,,,,
2024-01-24,BOAB,4762.24,49368,,,,,
2024-01-24,ETIT,24.45,887,,,,,
2024-01-24,ORAC,10890.45,15319,,,,,
2024-01-24,SGBC,19799.07,46977,,,,,
2024-01-24,CABC,1006.61,6213,,,,,
2024-01-25,SNTS,16642.31,27884,,,,,
2024-01-25,BOAB,4725.36,30439,,,,,
2024-01-25,ETIT,24.75,10578,,,,,
2024-01-25,ORAC,10983.46,13567,,,,,
2024-01-25,SGBC,19838.35,45314,,,,,
2024-01-25,CABC,1024.80,5068,,,,,
2024-01-26,SNTS,16626.68,14195,,,,,
2024-01-26,BOAB,4631.60,38670,,,,,
2024-01-26,ETIT,24.97,13466,,,,,
2024-01-26,ORAC,11130.15,27808,,,,,
2024-01-26,SGBC,19823.39,978,,,,,
2024-01-26,CABC,1007.77,44213,,,,,
2024-01-27,SNTS,16970.47,27506,,,,,
2024-01-27,BOAB,4712.92,29334,,,,,
2024-01-27,ETIT,24.63,6808,,,,,
2024-01-27,ORAC,11061.94,44999,,,,,
2024-01-27,SGBC,20137.11,43104,,,,,
2024-01-27,CABC,1028.39,10898,,,,,
2024-01-28,SNTS,16821.62,5588,,,,,
2024-01-28,BOAB,4784.11,44264,,,,,
2024-01-28,ETIT,24.59,31222,,,,,
2024-01-28,ORAC,10917.63,46529,,,,,
2024-01-28,SGBC,20517.85,48822,,,,,
2024-01-28,CABC,1045.34,44130,,,,,
2024-01-29,SNTS,16503.95,36959,,,,,
2024-01-29,BOAB,4759.94,46575,,,,,
2024-01-29,ETIT,24.99,43271,,,,,
2024-01-29,ORAC,11097.60,13706,,,,,
2024-01-29,SGBC,20834.47,5850,,,,,
2024-01-29,CABC,1065.46,43000,,,,,
2024-01-30,SNTS,16339.06,40921,,,,,
2024-01-30,BOAB,4763.34,15606,,,,,
2024-01-30,ETIT,25.38,11765,,,,,
2024-01-30,ORAC,10887.46,10059,,,,,
2024-01-30,SGBC,20725.55,43285,,,,,
2024-01-30,CABC,1090.51,14316,,,,,
2024-01-31,SNTS,16483.94,20284,,,,,
2024-01-31,BOAB,4878.38,27042,,,,,
2024-01-31,ETIT,25.95,6209,,,,,
2024-01-31,ORAC,11145.15,9339,,,,,
2024-01-31,SGBC,21208.74,13640,,,,,
2024-01-31,CABC,1074.02,22010,,,,,
2024-02-01,SNTS,16694.68,16027,,,,,
2024-02-01,BOAB,4913.89,25815,,,,,
2024-02-01,ETIT,25.88,29041,,,,,
2024-02-01,ORAC,11050.00,35584,,,,,
2024-02-01,SGBC,20786.18,46315,,,,,
2024-02-01,CABC,1078.56,36111,,,,,
2024-02-02,SNTS,16918.18,33696,,,,,
2024-02-02,BOAB,4896.15,3963,,,,,
2024-02-02,ETIT,26.13,16844,,,,,
2024-02-02,ORAC,10985.09,42476,,,,,
2024-02-02,SGBC,21043.70,15365,,,,,
2024-02-02,CABC,1072.00,20715,,,,,
2024-02-03,SNTS,16886.17,15134,,,,,
2024-02-03,BOAB,4826.28,21312,,,,,
2024-02-03,ETIT,26.72,34027,,,,,
2024-02-03,ORAC,11211.67,30967,,,,,
2024-02-03,SGBC,20907.82,27622,,,,,
2024-02-03,CABC,1050.58,14702,,,,,
2024-02-04,SNTS,16875.11,29209,,,,,
2024-02-04,BOAB,4871.94,23516,,,,,
2024-02-04,ETIT,26.71,11078,,,,,
2024-02-04,ORAC,11226.17,45108,,,,,
2024-02-04,SGBC,21238.60,8899,,,,,
2024-02-04,CABC,1033.58,26014,,,,,
2024-02-05,SNTS,17018.25,17091,,,,,
2024-02-05,BOAB,4953.93,37681,,,,,
2024-02-05,ETIT,26.99,11619,,,,,
2024-02-05,ORAC,11102.25,1709,,,,,
2024-02-05,SGBC,21047.83,24019,,,,,
2024-02-05,CABC,1052.43,4104,,,,,
2024-02-06,SNTS,16995.27,31673,12,0.0450,0.1800,0.0800,0.4000
2024-02-06,BOAB,4898.20,34969,8,0.0600,0.1400,0.0500,0.7000
2024-02-06,ETIT,27.05,12577,15,0.0200,0.0900,0.1200,0.3000
2024-02-06,ORAC,11207.97,774,11,0.0500,0.1600,0.0400,0.5000
2024-02-06,SGBC,21338.16,38617,9,0.0550,0.1200,0.0300,0.9000
2024-02-06,CABC,1036.43,21544,,,,,
2024-02-07,SNTS,16789.89,47919,12,0.0450,0.1800,0.0800,0.4000
2024-02-07,BOAB,4914.40,2985,8,0.0600,0.1400,0.0500,0.7000
2024-02-07,ETIT,26.81,42492,15,0.0200,0.0900,0.1200,0.3000
2024-02-07,ORAC,11214.03,40170,11,0.0500,0.1600,0.0400,0.5000
2024-02-07,SGBC,21552.41,49400,9,0.0550,0.1200,0.0300,0.9000
2024-02-07,CABC,1043.47,47526,,,,,
2024-02-08,SNTS,17127.60,30826,12,0.0450,0.1800,0.0800,0.4000
2024-02-08,BOAB,4975.18,25486,8,0.0600,0.1400,0.0500,0.7000
2024-02-08,ETIT,27.28,27619,15,0.0200,0.0900,0.1200,0.3000
2024-02-08,ORAC,11442.51,37310,11,0.0500,0.1600,0.0400,0.5000
2024-02-08,SGBC,21581.73,13329,9,0.0550,0.1200,0.0300,0.9000
2024-02-08,CABC,1034.21,32064,,,,,
2024-02-09,SNTS,17375.29,26304,12,0.0450,0.1800,0.0800,0.4000
2024-02-09,BOAB,5015.99,14092,8,0.0600,0.1400,0.0500,0.7000
2024-02-09,ETIT,26.83,14643,15,0.0200,0.0900,0.1200,0.3000
2024-02-09,ORAC,11353.57,16325,11,0.0500,0.1600,0.0400,0.5000
2024-02-09,SGBC,21674.68,7349,9,0.0550,0.1200,0.0300,0.9000
2024-02-09,CABC,1024.29,34850,,,,,
2024-02-10,SNTS,17580.13,3679,12,0.0450,0.1800,0.0800,0.4000
2024-02-10,BOAB,5007.68,27359,8,0.0600,0.1400,0.0500,0.7000
2024-02-10,ETIT,26.79,10738,15,0.0200,0.0900,0.1200,0.3000
2024-02-10,ORAC,11341.15,45289,11,0.0500,0.1600,0.0400,0.5000
2024-02-10,SGBC,21810.87,34928,9,0.0550,0.1200,0.0300,0.9000
2024-02-10,CABC,1043.29,38396,,,,,
